NAME,SMILES,PCE/%,Anchoring Group,Linker Group,Functional Head
EADR03,c1cc(ccc1n1c2c(c3c1ccc(c3)c1ccc(cc1OC)OC)cc(cc2)c1c(cc(cc1)OC)OC)C(=O)O,21.2,0100000,0100000000,01000201021000000
Cbz2SMe,c1ccc2c(c1SC)c1c(n2CCCCP(=O)(O)O)cccc1SC,21.22,1000000,4000000000,01000100201000000
Ph-2PACz,c1(ccc2c(c1)c1c(n2CCP(=O)(O)O)ccc(c1)c1ccccc1)c1ccccc1,21.3,1000000,2000000000,01000001001000000
TPT-P6,c1c(ccc(c1)c1ccc2c(c1)Sc1c(ccc(c1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)N2CCCCCCP(=O)(O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.43,1000000,6000000000,10100101001000000
PANDI,c1(ccc(c(c1)N1C(=O)c2c3c(C1=O)ccc1c3c(cc2)C(=O)N(C1=O)CP(=O)(O)O)C(C)(C)C)C(C)(C)C,21.5,1000000,1000000100,00040001030000000
PPAOMe,c1c(ccc(c1)c1ccc(c2c1nsn2)P(=O)(O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.52,1000000,0101000000,10000100001000000
2FMPA-BT-CA,c1(c(cc(c(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)F)N(c1ccc(cc1)OC)c1ccc(cc1)OC)F,21.68,0000010,0021100000,10000100001000000
CbzBF,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc2c1oc1c2cccc1,21.72,1000000,4000000000,03000001100000000
MPA-BT-CA,c1c(ccc(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.81,0000010,0101000000,10000100001000000
2BrPTZPA,c1(ccc2c(c1)Sc1c(N2CCCCP(=O)(O)O)ccc(c1)Br)Br,22.06,1000000,4000000000,00103000201000000
CbzBT,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc2c1sc1c2cccc1,22.08,1000000,4000000000,03000001200000000
9CPA,c1cc2c(cc1)c1c(n2CCC(=O)O)cccc1,22.1,0100000,2000000000,01000000001000000
FMPA-BT-CA,c1c(cc(c(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)F)N(c1ccc(cc1)OC)c1ccc(cc1)OC,22.37,0000010,0011100000,10000100001000000
TDPA-CI,c1(ccc2c(c1)Sc1c(N2CCCCP(=O)(O)O)ccc(c1)Cl)Cl,22.4,1000000,4000000000,00102000201000000
Br-2EPT,N1(c2ccc(cc2Sc2c1ccc(c2)Br)Br)CCP(=O)(O)O,22.44,1000000,2000000000,00103000201000000
MPA-Ph-CA,c1cc(ccc1c1ccc(N(c2ccc(cc2)OC)c2ccc(cc2)OC)cc1)/C=C(\C#N)/C(=O)O,22.53,0000010,0200000000,10000100001000000
MTPA-BA,N(c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)B(O)O,22.62,0001000,0100000000,10010000001000000
Br-2EPSe,N1(c2ccc(cc2[Se]c2c1ccc(c2)Br)Br)CCP(=O)(O)O,22.7,1000000,2000000000,00103000301000000
2BrPXZPA,c1(ccc2c(c1)Oc1c(N2CCCCP(=O)(O)O)ccc(c1)Br)Br,22.93,1000000,4000000000,00103000101000000
9CAA,c1cc2c(cc1)c1c(n2CC(=O)O)cccc1,23.1,0100000,1000000000,01000000001000000
PPA2,c1c(ccc(c1)c1ccc(c2c1nsn2)P(=O)(O)O)N(c1ccccc1)c1ccccc1,23.24,1000000,0101000000,10000000001000000
MPA-2FPH-BT-BA(2F),N(c1cc(c(cc1F)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O)F)(c1ccc(cc1)OC)c1ccc(cc1)OC,23.24,0100000,0121100000,10000100001000000
CbzNaph,c12ccc3c(c1cccc2)c1c(n3CCCCP(=O)(O)O)ccc2c1cccc2,24.1,1000000,4000000000,02000001001000000
S-4PADCB,c12c(c3c(n1CCCCP(=O)(O)O)ccc1c3cccc1)c1c(cc2)cccc1,24.18,1000000,4000000000,02000001001000000
MeO-4PADBC,c1cc2c(c3c1cc(cc3)OC)c1c(ccc3c1ccc(c3)OC)n2CCCCP(=O)(O)O,24.2,1000000,2000000000,01000100001000000
Me-4PACz,c1(ccc2c(c1)c1c(ccc(c1)C)n2CCCCP(=O)(O)O)C,24.5,1000000,4000000000,01010000001000000
MeO-BTBT,c1(ccc2c(c1)sc1c2sc2c1ccc(c2)CCCCP(=O)(O)O)OC,24.53,1000000,4000000000,00000100000001000
DC-TMPS,c1ccc2c(c1)c1c(n2c2ccc(cc2)[Si](OC)(OC)OC)cccc1,24.56,0010000,0100000000,01000000001000000
Ph-4PACz,c1(ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc(c1)c1ccccc1)c1ccccc1,25.01,1000000,4000000000,01000001001000000
A-4PADCB,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)c2c(c3c1cccc3)cccc2,25.05,1000000,4000000000,02000002000000000
MPA-CPA,c1(ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)/C=C(\C#N)/P(=O)(O)O,25.16,0000001,0100000000,10000100001000000
I-2PACz,c1cc2c(cc1I)c1c(n2CCP(=O)(O)O)ccc(c1)I,25.39,1000000,2000000000,01004000001000000
MeO-2PACz,c1(ccc2c(c1)c1c(n2CCP(=O)(O)O)ccc(c1)OC)OC,25.58,1000000,4000000000,02000101001000000
DMAcPA,c1(ccc2c(c1)C(c1c(N2CCCCP(=O)(O)O)ccc(c1)Br)(C)C)Br,25.86,1000000,4000000000,00123000001000000
Me-PhpPACz,c1(ccc2c(c1)c1c(n2c2ccc(cc2)P(=O)(O)O)ccc(c1)C)C,26.17,1000000,0100000000,01010000001000000
